Country,Code,Year,"Food supply (kcal/capita/day) (FAO, 2020)"
Afghanistan,AFG,2015,1978
Afghanistan,AFG,2016,2001
Afghanistan,AFG,2017,2000
Albania,ALB,2015,3258
Albania,ALB,2016,3352
Albania,ALB,2017,3400
Algeria,DZA,2015,3371
Algeria,DZA,2016,3359
Algeria,DZA,2017,3349
Angola,AGO,2015,2191
Angola,AGO,2016,2188
Angola,AGO,2017,2270
Antigua and Barbuda,ATG,2015,2419
Antigua and Barbuda,ATG,2016,2387
Antigua and Barbuda,ATG,2017,2430
Argentina,ARG,2015,3276
Argentina,ARG,2016,3219
Argentina,ARG,2017,3239
Armenia,ARM,2015,3080
Armenia,ARM,2016,3059
Armenia,ARM,2017,3078
Australia,AUS,2015,3292
Australia,AUS,2016,3316
Australia,AUS,2017,3311
Austria,AUT,2015,3715
Austria,AUT,2016,3687
Austria,AUT,2017,3692
Azerbaijan,AZE,2015,3074
Azerbaijan,AZE,2016,3085
Azerbaijan,AZE,2017,3103
Bahamas,BHS,2015,2016
Bahamas,BHS,2016,2062
Bahamas,BHS,2017,2043
Bangladesh,BGD,2015,2553
Bangladesh,BGD,2016,2573
Bangladesh,BGD,2017,2596
Barbados,BRB,2015,2932
Barbados,BRB,2016,2926
Barbados,BRB,2017,2896
Belarus,BLR,2015,3206
Belarus,BLR,2016,3295
Belarus,BLR,2017,3289
Belgium,BEL,2015,3845
Belgium,BEL,2016,3759
Belgium,BEL,2017,3768
Belize,BLZ,2015,2662
Belize,BLZ,2016,2683
Belize,BLZ,2017,2698
Benin,BEN,2015,2720
Benin,BEN,2016,2734
Benin,BEN,2017,2756
Bolivia,BOL,2015,2329
Bolivia,BOL,2016,2335
Bolivia,BOL,2017,2354
Bosnia and Herzegovina,BIH,2015,3255
Bosnia and Herzegovina,BIH,2016,3299
Bosnia and Herzegovina,BIH,2017,3269
Botswana,BWA,2015,2386
Botswana,BWA,2016,2370
Botswana,BWA,2017,2340
Brazil,BRA,2015,3238
Brazil,BRA,2016,3236
Brazil,BRA,2017,3248
Bulgaria,BGR,2015,2753
Bulgaria,BGR,2016,2846
Bulgaria,BGR,2017,2828
